Gene Symbol,Gene ID,Disease Name,Disease ID,Direct Evidence,Inference Network,Inference Score,Reference Count
PPP2R5A,5525,"Schizophrenia, Paranoid",MESH:D012563,,Carbamazepine,3.32,2
RFX5,5993,"Schizophrenia, Paranoid",MESH:D012563,,Carbamazepine,3.32,2
RNF225,646862,Schizophrenia,MESH:D012559,,Methamphetamine,3.32,5
SKIV2L2,72198,Schizophrenia,MESH:D012559,,Tetrachloroethylene,3.32,1
SPAG4,6676,"Schizophrenia, Paranoid",MESH:D012563,,Carbamazepine,3.32,2
TK2,7084,"Schizophrenia, Paranoid",MESH:D012563,,Carbamazepine,3.32,2
TMEM238,388564,Schizophrenia,MESH:D012559,,Tetrachloroethylene,3.32,1
TRIAP1,51499,"Schizophrenia, Paranoid",MESH:D012563,,Carbamazepine,3.32,2
UGT37B1,53584,Schizophrenia,MESH:D012559,,Phenobarbital,3.32,1
VARS,7407,"Schizophrenia, Paranoid",MESH:D012563,,Carbamazepine,3.32,2
WDR6,11180,"Schizophrenia, Paranoid",MESH:D012563,,Carbamazepine,3.32,2
YELLOW-F,41595,Schizophrenia,MESH:D012559,,Phenobarbital,3.32,1
ZFAND2A,90637,"Schizophrenia, Paranoid",MESH:D012563,,Chlorpromazine,3.32,4
ZFP119A,104349,Schizophrenia,MESH:D012559,,Phenobarbital,3.32,1
ZFP142,77264,Schizophrenia,MESH:D012559,,Methamphetamine,3.32,5
2810047C21RIK1,72716,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
ABCC2,1244,"Schizophrenia, Catatonic",MESH:D012560,,Chlorpromazine,3.31,1
ANKRD18DP,348840,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
AP1M2,10053,"Schizophrenia, Paranoid",MESH:D012563,,Carbamazepine,3.31,2
APOOP5,644649,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
ARNTL1A,58098,Schizophrenia,MESH:D012559,,Cocaine,3.31,1
ASAP1,50807,"Schizophrenia, Paranoid",MESH:D012563,,Carbamazepine,3.31,2
ASUN,41971,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
BAALC-AS2,157556,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
BAI3,100153298,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
BMS1P18,414763,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
BMS1P4,729096,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
C10ORF105,414152,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
C1ORF228,101751863,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
C1QTNF9B-AS1,101438525,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
C20ORF141,128653,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
C3ORF79,152118,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
C7ORF72,100857655,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
C8ORF49,606553,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
C9ORF69,100859101,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
CAHM,100526820,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
CCDC79,100655473,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
CCL15-CCL14,348249,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
CCNQP1,339521,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
CECR6,772223,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
CES1P1,51716,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
CGB,100391685,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
CHEK2P2,646096,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
CLEC18C,283971,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
CLK2P1,1197,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
CRYL1,51084,Schizophrenia,MESH:D012559,,Phenobarbital|Valproic Acid,3.31,3
CSGALNACT1,55790,"Schizophrenia, Paranoid",MESH:D012563,,Carbamazepine,3.31,2
CSPG4P1Y,114758,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
CSPG4P2Y,84664,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
CTD-2297D10.2,101929176,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
CXCR2P1,3580,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
CXORF49,100130361,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
CXORF49B,100132994,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
CYP1B1-AS1,285154,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
CYP2D7,1564,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
D4ERTD298E,51878,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
D6ERTD474E,52285,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
DCAF8L1,139425,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
DHTKD1,55526,"Schizophrenia, Paranoid",MESH:D012563,,Carbamazepine,3.31,2
DLG5-AS1,100128292,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
DMKN,93099,"Schizophrenia, Paranoid",MESH:D012563,,Carbamazepine,3.31,2
EDNRB-AS1,100505518,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
EIF4G3,8672,"Schizophrenia, Paranoid",MESH:D012563,,Carbamazepine,3.31,2
ELOVL2-AS1,100506409,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
EP300-AS1,101927279,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
EYA4,2070,"Schizophrenia, Paranoid",MESH:D012563,,Carbamazepine,3.31,2
FAM101A,507695,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
FAM179A,421296,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
FAM205A,259308,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
FAM224A,401630,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
FAM224B,401629,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
FAM25BP,100132929,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
FAM25G,100133093,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
FAM47C,442444,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
FAM65A,415665,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
FAM90A20P,728430,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
FASL,14103,Schizophrenia,MESH:D012559,,Carbamazepine|Methionine,3.31,2
FEZ2,9637,"Schizophrenia, Paranoid",MESH:D012563,,Carbamazepine,3.31,2
FGF4,2249,"Schizophrenia, Paranoid",MESH:D012563,,Carbamazepine,3.31,2
FOXP1-IT1,100506815,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
FUNDC2P2,388965,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
FZD10-DT,440119,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
GALNT2,2590,"Schizophrenia, Paranoid",MESH:D012563,,Carbamazepine,3.31,2
GATA2-AS1,101927167,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
GMCL2,64396,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
GNS,2799,"Schizophrenia, Paranoid",MESH:D012563,,Carbamazepine,3.31,2
GOLGA2P11,255180,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
GOLGA6B,55889,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
GOLGA6C,653641,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
GPR42,2866,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
GREM2,64388,"Schizophrenia, Paranoid",MESH:D012563,,Carbamazepine,3.31,2
GS1-124K5.4,100289098,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
GUCY2EP,390226,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
H2AFB2,474381,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
HAVCR1P1,100101266,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
HIATL1,102741905,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
HMGB1P4,10355,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
HPYR1,93668,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
IFITM2,10581,Schizophrenia,MESH:D012559,,Phenobarbital|Valproic Acid,3.31,3
INKA2-AS1,100506343,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
INTS4P1,285905,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
INTS4P2,644619,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
KDSR,2531,"Schizophrenia, Paranoid",MESH:D012563,,Carbamazepine,3.31,2
KIAA1644,100857276,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
KRT8P41,283102,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
KRTAP5-6,440023,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
LINC00051,619434,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
LINC00111,54090,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
LINC00205,102723489,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
LINC00207,388910,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
LINC00309,150992,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
LINC00327,100506697,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
LINC00452,643365,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
LINC00552,100130386,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
LINC00612,253128,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
LINC00656,200261,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
LINC00661,126536,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
LINC00696,100128378,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
LINC00863,439994,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
LINC00896,150197,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
LINC01093,100506229,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
LINC01107,151171,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
LINC01142,284688,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
LINC01250,101927554,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
LINC01257,116437,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
LINC01711,79160,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
LINC01777,284661,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
LINC01783,100132147,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
LINC01933,101927115,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
LINC02076,400579,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
LINC02145,401172,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
LINC02203,727924,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
LINC02370,338797,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
LINC02381,400043,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
LIPE-AS1,100996307,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
LIPJ,142910,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
LNCRI,401296,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
LPP-AS2,339929,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
LSP1P3,729862,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
MAP2K4P1,139201,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
MAPK8IP1P2,644172,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
MAPT-AS1,100128977,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
MBNL1-AS1,401093,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
MIMT1,100073347,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
MIR1194,100316750,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
MIR1208,100302281,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
MIR124A-1,387233,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
MIR1299,100302167,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
MIR1322,100302166,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
MIR1538,100302119,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
MIR297A-2,723945,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
MIR3127,100422928,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
MIR3149,100422921,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
MIR4322,100422925,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
MIR4324,100422979,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
MIR467H,100316675,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
MIR497,574456,Schizophrenia,MESH:D012559,,Lithium,3.31,6
MIR669D,100316664,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
MIR680-2,751551,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
MIR717,751531,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
MRPL23-AS1,100133545,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
MYADML,151325,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
NES,10763,"Schizophrenia, Paranoid",MESH:D012563,,Chlorpromazine,3.31,4
NFE2L3P2,100272146,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
NFIC,4782,Schizophrenia,MESH:D012559,,Phenobarbital|Valproic Acid,3.31,3
NHEG1,100294720,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
NNAT,4826,"Schizophrenia, Paranoid",MESH:D012563,,Carbamazepine,3.31,2
NXF2B,728343,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
OAS1,4938,Schizophrenia,MESH:D012559,,Lipopolysaccharides|Valproic Acid,3.31,3
ODF2,4957,"Schizophrenia, Paranoid",MESH:D012563,,Carbamazepine,3.31,2
OLFR121,258622,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
OLFR1392,258462,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
OLFR208,258382,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
OLFR766-PS1,546487,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
OR10G9,219870,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
OR13H1,347468,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
OR2M2,391194,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
OR2M5,127059,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
OR2T12,127064,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
OR5D16,390144,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
P2RX6P,440799,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
PACRG-AS1,285796,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
PCAT4,118425,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
PERP,64065,Schizophrenia,MESH:D012559,,Phenobarbital|Valproic Acid,3.31,3
PGCP1,441897,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
PHF2P1,266695,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
PIK3CD-AS1,644997,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
PIK3R2,5296,"Schizophrenia, Paranoid",MESH:D012563,,Carbamazepine,3.31,2
PIPSL,266971,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
POM121L4P,266697,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
POTEA,340441,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
PP12613,100192379,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
PP2672,100130249,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
PRAMEF18,391003,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
PRR20B,729233,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
PRR20C,729240,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
PRR20D,729246,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
PRR23C,389152,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
PRR25,388199,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
PWAR4,347745,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
RASA4CP,401331,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
RGAG1,102734014,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
RHOQP2,730041,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
RIMBP3B,440804,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
RIMBP3C,150221,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
RUNX1,861,"Schizophrenia, Paranoid",MESH:D012563,,Chlorpromazine,3.31,4
SATB2-AS1,150538,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
SBF1P1,100133234,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
SCART1,619207,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
SCGB1B2P,643719,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
SDC4P,376844,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
SEC1P,653677,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
SFXN3,81855,"Schizophrenia, Paranoid",MESH:D012563,,Carbamazepine,3.31,2
SIGLEC11,114132,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
SLC17A5,26503,"Schizophrenia, Paranoid",MESH:D012563,,Carbamazepine,3.31,2
SLC25A3P1,163742,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
SMIM32,389332,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
SMYD2,56950,"Schizophrenia, Paranoid",MESH:D012563,,Carbamazepine,3.31,2
SNAR-I,100170222,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
SNORA11D,100124541,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
SNORA17,100306954,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
SNORD105B,100113382,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
SNORD113-5,767565,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
SNORD113-6,767566,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
SNORD113-7,767567,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
SNORD114-6,767582,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
SNORD115-14,100033451,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
SNORD115-16,100033454,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
SNORD115-2,100033437,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
SNORD115-22,100033799,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
SNORD115-23,100033800,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
SNORD115-24,100036563,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
SNORD115-25,100033801,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
SNORD115-27,100036564,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
SNORD115-28,100036565,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
SNORD115-29,100033803,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
SNORD115-3,100033440,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
SNORD115-36,100033810,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
SNORD115-4,100033441,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
SNORD115-41,100033815,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
SNORD115-43,100033817,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
SNORD115-44,100033818,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
SNORD116-8,100033420,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
SNORD45B,26804,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
SNORD62A,26786,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
SNORD62B,692093,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
SNRPA,6626,"Schizophrenia, Paranoid",MESH:D012563,,Carbamazepine,3.31,2
SNX10,29887,Schizophrenia,MESH:D012559,,Phenobarbital|Valproic Acid,3.31,3
SPANXN2,494119,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
SPANXN4,441525,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
SPATA31A1,647060,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
SPATA31C1,441452,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
SSTY2,70009,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
SUMO2P1,285829,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
SUPT20HL1,100130302,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
SUPT20HL2,170067,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
TBC1D3C,414060,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
TBC1D3P5,440419,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
TCEB3C,100391757,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
THRB-IT1,100874274,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
TLX1NB,100038246,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
TMEM133,103796107,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
TMEM235,283999,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
TNFRSF14-AS1,115110,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
TPTE2P2,644623,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
TRIM53AP,642569,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
TRIM64,120146,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
TRIM74,378108,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
TRND,4555,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
TSG1,643432,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
TSPY2,64591,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
TTC40,450841,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
TTTY23,252955,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
TTTY23B,100101121,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
UBE2MP1,606551,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
UCKL1-AS1,100113386,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
UNC5C,8633,"Schizophrenia, Paranoid",MESH:D012563,,Carbamazepine,3.31,2
VDAC1P1,642585,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
VENTXP1,139538,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
VIAAT,100306851,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
VMN1R72,252905,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
VMN2R43,381838,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
VMN2R50,434117,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
VMN2R51,100042921,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
ZCCHC5,103008679,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
ZNF733P,643955,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
ZSCAN1,284312,Schizophrenia,MESH:D012559,,Valproic Acid,3.31,2
ACP5,54,"Schizophrenia, Paranoid",MESH:D012563,,Chlorpromazine,3.30,4
APCDD1,147495,"Schizophrenia, Paranoid",MESH:D012563,,Carbamazepine,3.30,2
AQP11,282679,"Schizophrenia, Paranoid",MESH:D012563,,Carbamazepine,3.30,2
ASCC3,10973,"Schizophrenia, Paranoid",MESH:D012563,,Carbamazepine,3.30,2
C11ORF96,387763,"Schizophrenia, Paranoid",MESH:D012563,,Carbamazepine,3.30,2
CALB1,793,Schizophrenia,MESH:D012559,,Cytarabine|Valproic Acid,3.30,3
CDK12,51755,"Schizophrenia, Paranoid",MESH:D012563,,Carbamazepine,3.30,2
CHDH,55349,"Schizophrenia, Paranoid",MESH:D012563,,Carbamazepine,3.30,2
FAM84B,157638,"Schizophrenia, Paranoid",MESH:D012563,,Carbamazepine,3.30,2
FANCI,55215,Schizophrenia,MESH:D012559,,Carbamazepine|Valproic Acid,3.30,3
FOXD1,2297,"Schizophrenia, Paranoid",MESH:D012563,,Carbamazepine,3.30,2
GBP1,2633,Schizophrenia,MESH:D012559,,Lipopolysaccharides|Valproic Acid,3.30,3
GINS3,64785,"Schizophrenia, Paranoid",MESH:D012563,,Carbamazepine,3.30,2
GLRX2,51022,"Schizophrenia, Paranoid",MESH:D012563,,Carbamazepine,3.30,2
GTF2H5,404672,"Schizophrenia, Paranoid",MESH:D012563,,Carbamazepine,3.30,2
HLA-G,3135,"Schizophrenia, Paranoid",MESH:D012563,,Carbamazepine,3.30,2
HSD17B2,3294,"Schizophrenia, Paranoid",MESH:D012563,,Chlorpromazine,3.30,4
KCNJ1,3758,Schizophrenia,MESH:D012559,,Dextroamphetamine,3.30,1
KPNA1,3836,"Schizophrenia, Paranoid",MESH:D012563,,Carbamazepine,3.30,2
LARS,51520,"Schizophrenia, Paranoid",MESH:D012563,,Carbamazepine,3.30,2
LRP8,7804,Schizophrenia,MESH:D012559,,Copper|Valproic Acid,3.30,3
MAMDC2,256691,"Schizophrenia, Paranoid",MESH:D012563,,Carbamazepine,3.30,2
MAP1LC3B,81631,Schizophrenia,MESH:D012559,,Copper|Phenobarbital|Valproic Acid,3.30,4
MPC1,51660,"Schizophrenia, Paranoid",MESH:D012563,,Carbamazepine,3.30,2
MSRB3,253827,"Schizophrenia, Paranoid",MESH:D012563,,Carbamazepine,3.30,2
MTDH,92140,"Schizophrenia, Paranoid",MESH:D012563,,Carbamazepine,3.30,2
MYL7,58498,"Schizophrenia, Paranoid",MESH:D012563,,Carbamazepine,3.30,2
NETO2,81831,"Schizophrenia, Paranoid",MESH:D012563,,Carbamazepine,3.30,2
PAFAH1B3,5050,"Schizophrenia, Paranoid",MESH:D012563,,Carbamazepine,3.30,2
PAG1,55824,"Schizophrenia, Paranoid",MESH:D012563,,Carbamazepine,3.30,2
PARP1,142,"Schizophrenia, Catatonic",MESH:D012560,,Lithium,3.30,1
PIEZO2,63895,"Schizophrenia, Paranoid",MESH:D012563,,Carbamazepine,3.30,2
POU3F1,5453,"Schizophrenia, Paranoid",MESH:D012563,,Carbamazepine,3.30,2
RBBP7,5931,"Schizophrenia, Paranoid",MESH:D012563,,Carbamazepine,3.30,2
RFC1,5981,"Schizophrenia, Paranoid",MESH:D012563,,Carbamazepine,3.30,2
RFK,55312,"Schizophrenia, Paranoid",MESH:D012563,,Carbamazepine,3.30,2
RNASET2,8635,"Schizophrenia, Paranoid",MESH:D012563,,Carbamazepine,3.30,2
RPL28,6158,"Schizophrenia, Paranoid",MESH:D012563,,Carbamazepine,3.30,2
SALL1,6299,"Schizophrenia, Paranoid",MESH:D012563,,Carbamazepine,3.30,2
